acqMode,acqName,acqfromDt,acqtoDt,afterAcqSharesNo,afterAcqSharesPer,befAcqSharesNo,befAcqSharesPer,company,date,intimDt,personCategory,secAcq,secType,secVal,securitiesTypePost,symbol,tdpTransactionType
Market Purchase,Vinay Surya,2025-11-27,2025-11-28,2181924,1,2177595,1,Surya Roshni Limited,2025-12-02,2025-11-29,Promoter Group,4329,Equity Shares,1143639,Equity Shares,SURYAROSNI,Buy
Market Purchase,Brahmadev Holding and Trading Limited,2025-11-27,2025-11-27,12011484,8.9,11816484,8.82,Maharashtra Seamless Limited,2025-12-02,2025-12-01,Promoter Group,195000,Equity Shares,112094308,Equity Shares,MAHSEAMLES,Buy
Market Purchase,Rajeev Jhawar,2025-12-01,2025-12-01,4135000,1.36,4130000,1.36,Usha Martin Limited,2025-12-02,2025-12-01,Promoters,5000,Equity Shares,2112624,Equity Shares,USHAMART,Buy
Market Purchase,RAJENDRA SETHIA,2025-12-01,2025-12-01,74071020,72.65,73971020,72.55,Western Carriers (India) Limited,2025-12-01,2025-12-01,Promoters,100000,Equity Shares,11849000,Equity Shares,WCIL,Buy
Market Sale,ABHISHEK PODDAR,2025-11-28,2025-11-28,515077,1.14,585077,1.29,Siyaram Silk Mills Limited,2025-12-01,2025-12-01,Promoters,70000,Equity Shares,49850285,Equity Shares,SIYSIL,Sell
Market Purchase,DPP ENTERPRISES LLP,2025-11-28,2025-11-28,130408,0.29,60408,0.13,Siyaram Silk Mills Limited,2025-12-01,2025-12-01,Promoter Group,70000,Equity Shares,50155364,Equity Shares,SIYSIL,Buy
Market Sale,Maheshbhai Naranbhai Patel,2025-11-28,2025-11-28,379850,3.71,384850,3.76,Magson Retail And Distribution Limited,2025-12-01,2025-12-01,Promoter Group,5000,Equity Shares,585000,Equity Shares,MAGSON,Sell
Market Sale,Maheshbhai Naranbhai Patel,2025-11-27,2025-11-27,384850,3.76,386850,3.78,Magson Retail And Distribution Limited,2025-12-01,2025-12-01,Promoter Group,2000,Equity Shares,228000,Equity Shares,MAGSON,Sell
Market Purchase,Jaik Leasing and Commercial Investment Limited,2025-11-26,2025-11-27,33000127,5.82,32232745,5.69,MSP Steel & Power Limited,2025-12-01,2025-11-28,Promoter Group,767382,Equity Shares,27004689,Equity Shares,MSPL,Buy
Market Purchase,Shree Vinay Finvest P Ltd..,2025-11-25,2025-11-25,9557143,1.69,9013543,1.59,MSP Steel & Power Limited,2025-12-01,2025-11-27,Promoter Group,543600,Equity Shares,18545511,Equity Shares,MSPL,Buy
Market Purchase,D B Power Limited,2025-11-27,2025-11-27,2127929,1.19,2127330,1.19,D.B.Corp Limited,2025-12-01,2025-11-28,Promoter Group,599,Equity Shares,155141,Equity Shares,DBCORP,Buy
Market Purchase,D B Power Limited,2025-11-27,2025-11-27,2127330,1.19,2105847,1.18,D.B.Corp Limited,2025-12-01,2025-11-28,Promoter Group,21483,Equity Shares,5550883,Equity Shares,DBCORP,Buy
Market Purchase,RAMESH JIVABHAI PINDARIYA,2025-11-26,2025-11-26,6383800,55.34,6380200,55.31,Winsol Engineers Limited,2025-12-01,2025-11-28,Promoters,3600,Equity Shares,632813,Equity Shares,WINSOL,Buy
Market Purchase,SOFREAL MERCANTRADE PRIVATE LTD,2025-11-25,2025-11-25,132956,0.72,129166,0.7,Stel Holdings Limited,2025-12-01,2025-11-27,Promoter Group,3790,Equity Shares,1890279,Equity Shares,STEL,Buy
Market Purchase,SOFREAL MERCANTRADE PRIVATE LTD,2025-11-25,2025-11-25,129166,0.7,125010,0.68,Stel Holdings Limited,2025-12-01,2025-11-27,Promoter Group,4156,Equity Shares,2027902,Equity Shares,STEL,Buy
Market Sale,Kavitha Reddy Gangapatnam,2025-11-27,2025-11-27,242741,0.79,492741,1.6,Mtar Technologies Limited,2025-12-01,2025-11-28,Promoters,250000,Equity Shares,593431690,Equity Shares,MTARTECH,Sell
Market Purchase,Rajeev Jhawar,2025-11-28,2025-11-28,4130000,1.36,4090000,1.34,Usha Martin Limited,2025-12-01,2025-11-29,Promoters,40000,Equity Shares,17034531,Equity Shares,USHAMART,Buy
Market Purchase,Stable Trading Co Ltd,2025-11-27,2025-11-27,23934620,17.86,23736687,17.71,Maharashtra Seamless Limited,2025-12-01,2025-12-01,Promoter Group,197933,Equity Shares,113846708,Equity Shares,MAHSEAMLES,Buy
Market Purchase,Parag K. Shah,2025-11-28,2025-11-28,119383405,29.57,119333405,29.56,Man Infraconstruction Limited,2025-12-01,2025-12-01,Promoters,50000,Equity Shares,6420500,Equity Shares,MANINFRA,Buy
Market Purchase,V.S. SHIRGAOKAR ENTERPRISES LLP,2025-11-27,2025-11-28,161466,1.04,160550,1.03,Synergy Green Industries Limited,2025-11-30,2025-11-29,Promoter Group,916,Equity Shares,504441,Equity Shares,SGIL,Buy
Market Purchase,Haryana Capfin Limited,2025-11-26,2025-11-26,6186180,4.62,6104280,4.55,Maharashtra Seamless Limited,2025-11-30,2025-11-28,Promoter Group,81900,Equity Shares,47427822,Equity Shares,MAHSEAMLES,Buy
Market Purchase,Odd & Even Trades & Finance Limited,2025-11-26,2025-11-26,23936500,17.86,23801500,17.8,Maharashtra Seamless Limited,2025-11-29,2025-11-28,Promoter Group,135000,Equity Shares,78227644,Equity Shares,MAHSEAMLES,Buy
Market Purchase,Harsha Farms Private Limited,2025-11-28,2025-11-28,464030,1.69,461633,1.68,Royal Orchid Hotels Limited,2025-11-29,2025-11-29,Promoter Group,2397,Equity Shares,1004714,Equity Shares,ROHLTD,Buy
Market Sale,B Ramesh Babu,2025-11-26,2025-11-27,129148,0.01,149148,0.02,Karur Vysya Bank Limited,2025-11-29,2025-11-28,Director,20000,Equity Shares,4998296,Equity Shares,KARURVYSYA,Sell
Market Purchase,Harish Chandra Gupta,2025-11-26,2025-11-26,24469862,12.99,24464862,12.98,Roto Pumps Limited,2025-11-29,2025-11-27,Promoters,5000,Equity Shares,307986,Equity Shares,ROTO,Buy
Market Purchase,Neera Gupta,2025-11-26,2025-11-26,10202403,5.41,10194420,5.41,Roto Pumps Limited,2025-11-29,2025-11-27,Promoter Group,7983,Equity Shares,485507,Equity Shares,ROTO,Buy
Market Purchase,Neera Gupta,2025-11-26,2025-11-26,10226420,5.43,10202403,5.41,Roto Pumps Limited,2025-11-29,2025-11-27,Promoter Group,24017,Equity Shares,1460658,Equity Shares,ROTO,Buy
Market Purchase,Gaisu Saluja,2025-11-25,2025-11-26,35461,0.02,2400,0,Roto Pumps Limited,2025-11-29,2025-11-27,Promoter Group,33061,Equity Shares,1991547,Equity Shares,ROTO,Buy
Market Purchase,Harish Chandra Gupta,2025-11-25,2025-11-25,24464862,12.98,24439140,12.97,Roto Pumps Limited,2025-11-29,2025-11-27,Promoters,25722,Equity Shares,1499479,Equity Shares,ROTO,Buy
Market Purchase,Harish Chandra Gupta,2025-11-26,2025-11-27,24488840,13,24469862,12.99,Roto Pumps Limited,2025-11-29,2025-11-27,Promoters,18978,Equity Shares,1170988,Equity Shares,ROTO,Buy
Market Purchase,Harish Chandra Gupta HUF,2025-11-27,2025-11-27,7466494,3.96,7461000,3.96,Roto Pumps Limited,2025-11-29,2025-11-27,Promoter Group,5494,Equity Shares,341204,Equity Shares,ROTO,Buy
Market Purchase,Dilip Varghese,2025-11-28,2025-11-28,1277615,5.31,1258615,5.23,Tarmat Limited,2025-11-29,2025-11-29,Promoters,19000,Equity Shares,1005839,Equity Shares,TARMAT,Buy
Market Sale,Sanginita Industries LLP,2025-11-21,2025-11-21,2218183,8.56,2262710,8.73,Sanginita Chemicals Limited,2025-11-29,2025-11-29,Promoters,44527,Equity Shares,453699,Equity Shares,SANGINITA,Sell
Market Sale,Sanginita Industries LLP,2025-11-28,2025-11-28,2163183,8.35,2218183,8.56,Sanginita Chemicals Limited,2025-11-29,2025-11-29,Promoters,55000,Equity Shares,545705,Equity Shares,SANGINITA,Sell
Market Sale,YASHPAL SHARMA,2025-11-26,2025-11-26,137500,1.21,126300,1.11,Brace Port Logistics Limited,2025-11-29,2025-11-27,Promoters,11200,Equity Shares,907200,Equity Shares,BRACEPORT,Buy
Market Purchase,V S SHIRGAOKAR ENTERPRISES LLP,2025-11-27,2025-11-28,3227694,2.86,3215394,2.85,The Ugar Sugar Works Limited,2025-11-29,2025-11-29,Promoter Group,12300,Equity Shares,501999,Equity Shares,UGARSUGAR,Buy
Market Sale,RISHI TREHAN,2025-11-26,2025-11-26,188300,1.67,199500,1.77,Brace Port Logistics Limited,2025-11-29,2025-11-27,Promoters,11200,Equity Shares,907200,Equity Shares,BRACEPORT,Sell
Market Sale,TAUSEEF AHMAD MIRZA,2025-11-27,2025-11-28,338000,0.06,341000,0.06,Redtape Limited,2025-11-29,2025-11-28,Promoters,3000,Equity Shares,389100,Equity Shares,REDTAPE,Sell
Market Sale,TAUSEEF AHMAD MIRZA,2025-11-26,2025-11-27,341000,0.06,374000,0.07,Redtape Limited,2025-11-29,2025-11-28,Promoters,33000,Equity Shares,4402962,Equity Shares,REDTAPE,Sell
Market Purchase,K.N MADHUSOODANAN,2025-11-28,2025-11-28,2262558,0.57,2242558,0.56,Dhanlaxmi Bank Limited,2025-11-29,2025-11-28,Director,20000,Equity Shares,539000,Equity Shares,DHANBANK,Buy
Market Purchase,Rajeev Jhawar,2025-11-27,2025-11-27,4090000,1.34,4085000,1.34,Usha Martin Limited,2025-11-29,2025-11-28,Promoters,5000,Equity Shares,2092623,Equity Shares,USHAMART,Buy
Market Purchase,BANWARI LAL MITTAL,2025-11-25,2025-11-27,10696582,33.63,10686000,33.59,Health X Platform Limited,2025-11-29,2025-11-28,Promoters,10582,Equity Shares,3429242,Equity Shares,HEALTHX,Buy
Market Sale,Joseph Sudheer Reddy Thumma,2025-11-26,2025-11-26,219591120,37.28,231541120,39.31,Magellanic Cloud Limited,2025-11-28,2025-11-28,Director,11950000,Equity Shares,472503000,Equity Shares,MCLOUD,Sell
Market Sale,G. Suresh Kumar,2025-11-26,2025-11-26,17120,0.02,20120,0.02,SMS Pharmaceuticals Limited,2025-11-28,2025-11-28,Director,3000,Equity Shares,895490,Equity Shares,SMSPHARMA,Sell
Market Purchase,IRB Holding Private Limited (Formerly known as Mhaiskar Ventures Private Limited),2025-11-28,2025-11-28,1784423150,29.55,1784225150,29.55,IRB Infrastructure Developers Limited,2025-11-28,2025-11-28,Promoter Group,198000,Equity Shares,8492220,Equity Shares,IRB,Buy
Market Purchase,GOPIKA GUPTA,2025-11-25,2025-11-25,300000,0.16,299140,0.16,Roto Pumps Limited,2025-11-28,2025-11-26,Promoter Group,860,Equity Shares,50525,Equity Shares,ROTO,Buy
Market Purchase,GOPIKA GUPTA,2025-11-24,2025-11-24,217540,0.12,207540,0.11,Roto Pumps Limited,2025-11-28,2025-11-26,Promoter Group,10000,Equity Shares,567379,Equity Shares,ROTO,Buy
Market Purchase,NEW MODERN BUILDWELL PRIVATE LIMITED,2025-11-27,2025-11-28,462637,2.55,460000,2.54,Rudrabhishek Enterprises Limited,2025-11-28,2025-11-28,Promoter Group,2637,Equity Shares,462637,Equity Shares,REPL,Buy
Market Sale,RISHI TREHAN,2025-11-25,2025-11-25,199500,1.77,209100,1.85,Brace Port Logistics Limited,2025-11-28,2025-11-26,Promoters,9600,Equity Shares,781520,Equity Shares,BRACEPORT,Sell
Market Sale,YASHPAL SHARMA,2025-11-25,2025-11-25,126300,1.11,116700,1.03,Brace Port Logistics Limited,2025-11-28,2025-11-26,Promoters,9600,Equity Shares,781520,Equity Shares,BRACEPORT,Buy
Market Purchase,Ashish Kukreja,2025-11-27,2025-11-28,1524312,47.25,1523412,47.22,Homesfy Realty Limited,2025-11-28,2025-11-28,Promoters,900,Equity Shares,166482,Equity Shares,HOMESFY,Buy
Market Purchase,Global Jindal Fin-Invest Limited,2025-11-26,2025-11-26,11561617,8.6,11393417,8.5,Maharashtra Seamless Limited,2025-11-28,2025-11-27,Promoter Group,168200,Equity Shares,97400256,Equity Shares,MAHSEAMLES,Buy
Market Purchase,Krishna Kumar Choudhary,2025-11-26,2025-11-26,1404865,2.13,1404371,2.13,Rashi Peripherals Limited,2025-11-28,2025-11-27,Promoters,494,Equity Shares,161291,Equity Shares,RPTECH,Buy
Market Purchase,Krishna Kumar Choudhary,2025-11-26,2025-11-26,1407220,2.14,1404865,2.13,Rashi Peripherals Limited,2025-11-28,2025-11-27,Promoters,2355,Equity Shares,768309,Equity Shares,RPTECH,Buy
Market Sale,Maheshbhai Naranbhai Patel,2025-11-26,2025-11-26,386850,3.78,387850,3.79,Magson Retail And Distribution Limited,2025-11-28,2025-11-28,Promoter Group,1000,Equity Shares,114000,Equity Shares,MAGSON,Sell
Market Sale,BERJIS M DESAI,2025-11-25,2025-11-25,1824770,1.06,1894770,1.1,Inventurus Knowledge Solutions Limited,2025-11-28,2025-11-26,Director,70000,Equity Shares,116881538,Equity Shares,IKS,Sell
Market Sale,BERJIS M DESAI,2025-11-27,2025-11-27,1689000,0.98,1726770,1.01,Inventurus Knowledge Solutions Limited,2025-11-28,2025-11-27,Director,37770,Equity Shares,63748186,Equity Shares,IKS,Sell
Market Sale,BERJIS M DESAI,2025-11-26,2025-11-26,1726770,1.01,1824770,0.11,Inventurus Knowledge Solutions Limited,2025-11-28,2025-11-27,Director,98000,Equity Shares,164703348,Equity Shares,IKS,Sell
Market Purchase,AV Dwellings Private Limited,2025-11-26,2025-11-26,4885000,1.73,4862007,1.72,NAVA LIMITED,2025-11-28,2025-11-27,Promoter Group,22993,Equity Shares,12028380,Equity Shares,NAVA,Buy
Market Purchase,AV Dwellings Private Limited,2025-11-25,2025-11-25,4862007,1.72,4860000,1.72,NAVA LIMITED,2025-11-28,2025-11-27,Promoter Group,2007,Equity Shares,1026597,Equity Shares,NAVA,Buy
Market Purchase,AV Dwellings Private Limited,2025-11-27,2025-11-27,4910000,1.73,4885000,1.73,NAVA LIMITED,2025-11-28,2025-11-28,Promoter Group,25000,Equity Shares,13289072,Equity Shares,NAVA,Buy
Market Purchase,Hindustan Cotton Company,2025-11-27,2025-11-27,47569986,56.97,47565106,56.96,Sarla Performance Fibers Limited,2025-11-28,2025-11-28,Promoter Group,4880,Equity Shares,430318,Equity Shares,SARLAPOLY,Buy
Market Purchase,MANJOO SARDANA,2025-11-26,2025-11-28,2482044,7.94,2477544,7.93,Sukhjit Starch & Chemicals Limited,2025-11-28,2025-11-28,Promoters,4500,Equity Shares,678000,Equity Shares,SUKHJITS,Buy
Market Purchase,Vinay Surya,2025-11-24,2025-11-26,2177595,1,2166924,1,Surya Roshni Limited,2025-11-28,2025-11-26,Promoter Group,10671,Equity Shares,2822990,Equity Shares,SURYAROSNI,Buy
Market Purchase,Diwarkar Marketing Private Limited,2025-11-26,2025-11-26,22733000,10.43,22693000,10.43,Surya Roshni Limited,2025-11-28,2025-11-27,Promoter Group,40000,Equity Shares,10823924,Equity Shares,SURYAROSNI,Buy
Market Purchase,PRIYANKA RICHI CHOKSI,2025-11-28,2025-11-28,197400,1.95,195000,1.93,Viviana Power Tech Limited,2025-11-28,2025-11-28,Promoters,2400,Equity Shares,2085000,Equity Shares,VIVIANA,Buy
Market Purchase,Richi Nikeshbhai Choksi,2025-11-28,2025-11-28,198400,1.96,197200,1.95,Viviana Power Tech Limited,2025-11-28,2025-11-28,Promoters,1200,Equity Shares,1044864,Equity Shares,VIVIANA,Buy
Market Purchase,Rekha Bhagat,2025-11-25,2025-11-25,2808188,11.94,2804188,11.92,Dynamic Services & Security Limited,2025-11-28,2025-11-27,Promoters,4000,Equity Shares,456912,Equity Shares,DYNAMIC,Buy
Market Purchase,Destiny Logistics & Infra Limited,2025-11-27,2025-11-27,3824563,16.26,3789563,16.11,Dynamic Services & Security Limited,2025-11-28,2025-11-27,Promoter Group,35000,Equity Shares,4572118,Equity Shares,DYNAMIC,Buy
Market Purchase,Destiny Logistics & Infra Limited,2025-11-25,2025-11-25,3789563,16.11,3749563,15.94,Dynamic Services & Security Limited,2025-11-28,2025-11-27,Promoter Group,40000,Equity Shares,4801022,Equity Shares,DYNAMIC,Buy
Market Purchase,MADHAV DOSHI,2025-11-25,2025-11-26,76517,0.85,72517,0.81,Madhav Marbles and Granites Limited,2025-11-28,2025-11-26,Director,4000,Equity Shares,169160,Equity Shares,MADHAV,Buy
Market Purchase,RIDDHIMA DOSHI,2025-11-26,2025-11-27,1065865,11.91,1060300,11.85,Madhav Marbles and Granites Limited,2025-11-28,2025-11-27,Director,5565,Equity Shares,240753,Equity Shares,MADHAV,Buy
Market Sale,Whirlpool Mauritius Limited,2025-11-27,2025-11-27,50449633,39.76,64704633,51,Whirlpool of India Limited,2025-11-28,2025-11-27,Promoter Group,14255000,Equity Shares,14896023116,Equity Shares,WHIRLPOOL,Sell
Market Purchase,SANJAY KUMAR JAIN,2025-11-26,2025-11-27,5970624,2.31,5955436,2.3,T T Limited,2025-11-28,2025-11-27,Promoter Group,15188,Equity Shares,144118,Equity Shares,TTL,Buy
Market Purchase,Manish Jain,2025-11-27,2025-11-27,48831000,27.82,48791000,27.8,Enviro Infra Engineers Limited,2025-11-28,2025-11-28,Promoters,40000,Equity Shares,8669600,Equity Shares,EIEL,Buy
Market Purchase,Harsha Farms Private Limited,2025-11-27,2025-11-27,461633,1.68,442032,1.61,Royal Orchid Hotels Limited,2025-11-27,2025-11-27,Promoter Group,19601,Equity Shares,8222082,Equity Shares,ROHLTD,Buy
Market Sale,RISHI TREHAN,2025-11-24,2025-11-24,209100,1.85,220300,1.95,Brace Port Logistics Limited,2025-11-27,2025-11-25,Promoters,11200,Equity Shares,907200,Equity Shares,BRACEPORT,Sell
Market Sale,YASHPAL SHARMA,2025-11-24,2025-11-24,116700,1.03,105500,0.93,Brace Port Logistics Limited,2025-11-27,2025-11-25,Promoters,11200,Equity Shares,907200,Equity Shares,BRACEPORT,Buy
Market Purchase,SONAM RAGAVAN,2025-11-27,2025-11-27,327000,2.05,311000,1.95,Globesecure Technologies Limited,2025-11-27,2025-11-27,Director,16000,Equity Shares,145600,Equity Shares,GSTL,Buy
Market Purchase,JINDAL CEMENT INDUSTRIES PRIVATE LIMITED,2025-11-24,2025-11-24,1932149,0.19,1334390,0.13,JINDAL STEEL LIMITED,2025-11-27,2025-11-25,Promoter Group,597759,Equity Shares,620599371,Equity Shares,JINDALSTEL,Buy
Market Purchase,JINDAL CEMENT INDUSTRIES PRIVATE LIMITED,2025-11-25,2025-11-25,2023361,0.2,1932149,0.19,JINDAL STEEL LIMITED,2025-11-27,2025-11-25,Promoter Group,91212,Equity Shares,93003403,Equity Shares,JINDALSTEL,Buy
Market Purchase,JINDAL CEMENT INDUSTRIES PRIVATE LIMITED,2025-11-21,2025-11-21,1334390,0.13,837053,0.08,JINDAL STEEL LIMITED,2025-11-27,2025-11-25,Promoter Group,497337,Equity Shares,522920015,Equity Shares,JINDALSTEL,Buy
Market Sale,Devesh Sachdev,2025-11-26,2025-11-26,4580301,2.82,4630301,2.86,Fusion Finance Limited,2025-11-27,2025-11-27,Promoters,50000,Equity Shares,8400000,Equity Shares,FUSION,Sell
Market Sale,Shakuntala Shetty,2025-11-25,2025-11-25,71124135,34.8,72301135,35.38,Narayana Hrudayalaya Ltd.,2025-11-27,2025-11-26,Promoters,1177000,Equity Shares,2306990620,Equity Shares,NH,Sell
Market Sale,ANSHU JHA,2025-11-25,2025-11-25,14336,0.13,26436,0.26,Reliable Data Services Limited,2025-11-27,2025-11-27,Promoter Group,12100,Equity Shares,1614477,Equity Shares,RELIABLE,Sell
Market Purchase,Hindustan Cotton Company,2025-11-26,2025-11-26,47565106,56.96,47559789,56.96,Sarla Performance Fibers Limited,2025-11-27,2025-11-27,Promoter Group,5317,Equity Shares,467867,Equity Shares,SARLAPOLY,Buy
Market Purchase,SUKESH CHANDRA NAITHANI,2025-11-26,2025-11-26,4706018,27.23,4701018,27.2,Trident Techlabs Limited,2025-11-27,2025-11-26,Promoters,5000,Equity Shares,1768100,Equity Shares,TECHLABS,Buy
Market Purchase,MIDASTECH VENTURES PRIVATE LIMITED,2025-11-26,2025-11-26,18138297,35.63,18136297,35.63,Global Education Limited,2025-11-27,2025-11-27,Promoters,2000,Equity Shares,160800,Equity Shares,GLOBAL,Buy
Market Purchase,Parag K. Shah,2025-11-26,2025-11-26,119333405,29.56,119273405,29.54,Man Infraconstruction Limited,2025-11-27,2025-11-27,Promoters,60000,Equity Shares,7646400,Equity Shares,MANINFRA,Buy
Market Sale,PARUL KRISHNA RANA,2025-11-25,2025-11-25,13439150,24.47,13469150,24.52,Platinum Industries Limited,2025-11-26,2025-11-26,Promoters,30000,Equity Shares,8340000,Equity Shares,PLATIND,Sell
Market Purchase,JIGNA AMIT MANIYAR,2025-11-24,2025-11-24,17980,0.07,16380,0.06,Yash Optics & Lens Limited,2025-11-26,2025-11-26,Promoter Group,1600,Equity Shares,169600,Equity Shares,YASHOPTICS,Buy
Market Purchase,Hindustan Cotton Company,2025-11-25,2025-11-25,47559789,56.96,47544157,56.94,Sarla Performance Fibers Limited,2025-11-26,2025-11-26,Promoter Group,15632,Equity Shares,1369465,Equity Shares,SARLAPOLY,Buy
Market Sale,YASHPAL SHARMA,2025-11-21,2025-11-21,105500,0.93,95900,0.84,Brace Port Logistics Limited,2025-11-26,2025-11-25,Promoters,9600,Equity Shares,796800,Equity Shares,BRACEPORT,Buy
Market Sale,RISHI TREHAN,2025-11-21,2025-11-21,220300,1.95,229900,2.03,Brace Port Logistics Limited,2025-11-26,2025-11-25,Promoters,9600,Equity Shares,796800,Equity Shares,BRACEPORT,Sell
Market Purchase,S.S.SHIRGAOKAR ENTERPRISES LLP,2025-11-21,2025-11-24,5925,0.04,Nil,0,Synergy Green Industries Limited,2025-11-26,2025-11-24,Promoter Group,5925,Equity Shares,3244922,Equity Shares,SGIL,Buy
Market Purchase,Manish Bindal,2025-11-25,2025-11-25,8919406,37.33,8909006,37.29,Tejas Cargo India Limited,2025-11-26,2025-11-26,Promoters,10400,Equity Shares,2805806,Equity Shares,TEJASCARGO,Buy
Market Sale,PETERHOUSE INVESTMENTS LIMITED,2025-11-25,2025-11-25,3750000,1.23,3970795,1.3,Usha Martin Limited,2025-11-26,2025-11-25,Promoter Group,220795,Equity Shares,91722659,Equity Shares,USHAMART,Sell
Market Purchase,Krishna Kumar Choudhary,2025-11-25,2025-11-25,1404371,2.13,1404259,2.13,Rashi Peripherals Limited,2025-11-26,2025-11-26,Promoters,112,Equity Shares,36512,Equity Shares,RPTECH,Buy
Market Purchase,Krishna Kumar Choudhary,2025-11-25,2025-11-25,1404259,2.13,1404192,2.13,Rashi Peripherals Limited,2025-11-26,2025-11-26,Promoters,67,Equity Shares,21842,Equity Shares,RPTECH,Buy
Market Purchase,SECURA INDIA TRUST,2025-11-25,2025-11-25,1443708,7.82,1443381,7.82,Stel Holdings Limited,2025-11-26,2025-11-26,Promoter Group,327,Equity Shares,162315,Equity Shares,STEL,Buy
Market Purchase,SECURA INDIA TRUST,2025-11-25,2025-11-25,1443881,7.82,1443708,7.82,Stel Holdings Limited,2025-11-26,2025-11-26,Promoter Group,173,Equity Shares,86651,Equity Shares,STEL,Buy
Market Purchase,SECURA INDIA TRUST,2025-03-20,2025-03-20,1443381,7.82,1441542,7.81,Stel Holdings Limited,2025-11-26,2025-11-26,Promoter Group,1839,Equity Shares,807811,Equity Shares,STEL,Buy
Market Purchase,RAM GROVHER,2025-11-25,2025-11-25,22800,0,6100,0,EPack Prefab Technologies Limited,2025-11-26,2025-11-25,Director,16700,Equity Shares,5067900,Equity Shares,EPACKPEB,Buy
Market Purchase,Stuti Jhawar,2025-11-21,2025-11-21,1316000,0.43,1307000,0.43,Usha Martin Limited,2025-11-26,2025-11-25,Promoter Group,9000,Equity Shares,3866542,Equity Shares,USHAMART,Buy
Market Sale,ANJAY AGARWAL,2025-11-24,2025-11-25,Nil,0,954679,7.44,Aaa Technologies Limited,2025-11-26,2025-11-26,Promoters,954679,Equity Shares,85322731,Equity Shares,AAATECH,Sell
Market Purchase,RADHIKA NANNAPANENI,2025-11-17,2025-11-17,158394,0.08,156394,0.07,Standard Engineering Technology Limited,2025-11-26,2025-11-24,Director,2000,Equity Shares,332000,Equity Shares,SETL,Buy
Market Purchase,RADHIKA NANNAPANENI,2025-11-17,2025-11-17,160894,0.08,158394,0.08,Standard Engineering Technology Limited,2025-11-26,2025-11-24,Director,2500,Equity Shares,413000,Equity Shares,SETL,Buy
Market Purchase,D B Power Limited,2025-11-25,2025-11-25,2105847,1.18,2096826,1.18,D.B.Corp Limited,2025-11-26,2025-11-26,Promoter Group,9021,Equity Shares,2332760,Equity Shares,DBCORP,Buy
Market Purchase,D B Power Limited,2025-11-24,2025-11-24,2096826,1.18,2059986,1.16,D.B.Corp Limited,2025-11-26,2025-11-25,Promoter Group,36840,Equity Shares,9498118,Equity Shares,DBCORP,Buy
Market Purchase,DILIP VARGHESE,2025-11-20,2025-11-20,1232693,5.12,1216693,5.05,Tarmat Limited,2025-11-26,2025-11-21,Promoters,16000,Equity Shares,846396,Equity Shares,TARMAT,Buy
Market Sale,PETERHOUSE INVESTMENTS LIMITED,2025-11-24,2025-11-24,3970795,1.3,4050000,1.33,Usha Martin Limited,2025-11-26,2025-11-24,Promoter Group,79205,Equity Shares,33166302,Equity Shares,USHAMART,Sell
Market Purchase,DILIP VARGHESE,2025-11-20,2025-11-20,1232693,5.12,1216693,5.05,Tarmat Limited,2025-11-26,2025-11-21,Promoters,16000,Equity Shares,846396,Equity Shares,TARMAT,Buy
Market Purchase,Shree Vinay Finvest P Ltd..,2025-11-20,2025-11-21,9013543,1.59,7878543,1.39,MSP Steel & Power Limited,2025-11-26,2025-11-24,Promoter Group,1135000,Equity Shares,39303519,Equity Shares,MSPL,Buy
Market Purchase,Jaik Leasing and Commercial Investment Limited,2025-11-24,2025-11-24,32232745,5.69,31654045,5.58,MSP Steel & Power Limited,2025-11-26,2025-11-25,Promoter Group,578700,Equity Shares,1957394,Equity Shares,MSPL,Buy
Market Purchase,MIDASTECH VENTURES PRIVATE LIMITED,2025-11-25,2025-11-25,18136297,35.63,18116730,35.59,Global Education Limited,2025-11-26,2025-11-26,Promoters,19567,Equity Shares,1570980,Equity Shares,GLOBAL,Buy
Market Purchase,Aarti Devesh Sahney,2025-11-25,2025-11-25,823919,3.4,760490,3.14,NRB Industrial Bearings Limited,2025-11-26,2025-11-25,Promoters,63429,Equity Shares,2020848,Equity Shares,NIBL,Buy
Market Purchase,Parag K. Shah,2025-11-25,2025-11-25,119273405,29.54,119183405,29.52,Man Infraconstruction Limited,2025-11-26,2025-11-26,Promoters,90000,Equity Shares,11020500,Equity Shares,MANINFRA,Buy
Market Purchase,Varun Sawhney,2025-11-24,2025-11-24,240965,1.86,240482,1.86,Cords Cable Industries Limited,2025-11-25,2025-11-25,Promoter Group,483,Equity Shares,89635,Equity Shares,CORDSCABLE,Buy
Market Purchase,Varun Sawhney,2025-11-24,2025-11-24,240482,1.86,238962,1.85,Cords Cable Industries Limited,2025-11-25,2025-11-25,Promoter Group,1520,Equity Shares,282240,Equity Shares,CORDSCABLE,Buy
Market Sale,G T Sandeep,2025-11-24,2025-11-24,143722,0.32,151222,0.33,NCL Industries Limited,2025-11-25,2025-11-24,Promoter Group,7500,Equity Shares,0,Equity Shares,NCLIND,Sell
Market Purchase,Time Exports Private Limited,2025-11-25,2025-11-25,44508400,9.02,44456550,9.01,Time Technoplast Limited,2025-11-25,2025-11-25,Promoters,51850,Equity Shares,10426003,Equity Shares,TIMETECHNO,Buy
Market Purchase,RAM GROVHER,2025-11-20,2025-11-20,6100,0,2950,0,EPack Prefab Technologies Limited,2025-11-25,2025-11-21,Director,2950,Equity Shares,941522,Equity Shares,EPACKPEB,Buy
